"","km_sq","easting","northing","Presence"
"797","NR3587",135000,687000,0
"798","NR3688",136000,688000,0
"799","NM3751",137000,751000,0
"800","NS3064",230000,664000,0
"801","NS1759",217000,659000,0
"802","NS3073",230000,673000,0
"803","NS1750",217000,650000,0
"804","NS0465",204000,665000,0
"805","NS1657",216000,657000,0
"806","NM4239",142000,739000,0
"807","NM3945",139000,745000,0
"808","NM8632",186000,732000,0
"809","NS1584",215000,684000,0
"810","NS3037",230000,637000,0
"811","NS3234",232000,634000,0
"812","NS3232",232000,632000,0
"813","NS3233",232000,633000,0
"814","NN2427",224000,727000,0
"815","NN1429",214000,729000,0
"816","NS2577",225000,677000,0
"817","NL9738",97000,738000,0
"818","NM0347",103000,747000,0
"819","NM4556",145000,756000,0
"820","NM4752",147000,752000,0
"821","NM8939",189000,739000,0
"822","NM8121",181000,721000,0
"823","NM9037",190000,737000,0
"824","NM8300",183000,7e+05,0
"825","NR8297",182000,697000,0
"826","NM8011",180000,711000,0
"827","NR8491",184000,691000,0
"828","NR8396",183000,696000,0
"829","NM8517",185000,717000,0
"830","NN2327",223000,727000,0
"831","NM9944",199000,744000,0
"832","NM9544",195000,744000,0
"833","NR8092",180000,692000,0
"834","NM8412",184000,712000,0
"835","NM8221",182000,721000,0
"836","NN1227",212000,727000,0
"837","NM9034",190000,734000,0
"838","NM9040",190000,740000,0
"839","NS0856",208000,656000,0
"840","NM4257",142000,757000,0
"841","NM5538",155000,738000,0
"842","NM5621",156000,721000,0
"843","NM5421",154000,721000,0
"844","NM7514",175000,714000,0
"845","NN1361",213000,761000,0
"846","NR6879",168000,679000,0
"847","NM8834",188000,734000,0
"848","NR7524",175000,624000,0
"849","NR2066",120000,666000,0
"850","NM9739",197000,739000,0
"851","NN1174",211000,774000,0
"852","NM6796",167000,796000,0
"853","NM6577",165000,777000,0
"854","NM6865",168000,765000,0
"855","NM6476",164000,776000,0
"856","NM6477",164000,777000,0
"857","NM4468",144000,768000,0
"858","NM6671",166000,771000,0
"859","NG7015",170000,815000,0
"860","NG5808",158000,808000,0
"861","NM6897",168000,797000,0
"862","NM9260",192000,760000,0
"863","NN0469",204000,769000,0
